,sentence_text,e1,e2,relation_type,normalized_sentence
464,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",carboxymethylcellulose-cysteine,NaFlu,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf DRUG (CMC-Cys)_be conjugates_be intestinal_be permeation_be sodium_be fluorescein_be (NaFlu)_be model_be peptide_be drugs_be ,_be bacitracin_be insulin_be ._be"
465,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",carboxymethylcellulose-cysteine,bacitracin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf DRUG (CMC-Cys)_be conjugates_be intestinal_be permeation_be sodium_be fluorescein_be (NaFlu)_be model_be peptide_be drugs_be ,_be OTHER_DRUG insulin_af ._af"
466,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",carboxymethylcellulose-cysteine,insulin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf DRUG (CMC-Cys)_be conjugates_be intestinal_be permeation_be sodium_be fluorescein_be (NaFlu)_be model_be peptide_be drugs_be ,_be bacitracin_be OTHER_DRUG ._af"
467,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",CMC-Cys,sodium fluorescein,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf bacitracin_bf insulin_bf ._bf"
468,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",CMC-Cys,NaFlu,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf bacitracin_bf insulin_bf ._bf"
469,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",CMC-Cys,bacitracin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf OTHER_DRUG insulin_be ._be"
470,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",CMC-Cys,insulin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf bacitracin_bf OTHER_DRUG ._be"
471,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",sodium fluorescein,NaFlu,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf bacitracin_bf insulin_bf ._bf"
472,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",sodium fluorescein,bacitracin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf OTHER_DRUG insulin_be ._be"
473,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",sodium fluorescein,insulin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf bacitracin_bf OTHER_DRUG ._be"
474,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",NaFlu,bacitracin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf OTHER_DRUG insulin_be ._be"
475,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",NaFlu,insulin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf bacitracin_bf OTHER_DRUG ._be"
476,"The purpose of this study was to evaluate the effect of sodium carboxymethylcellulose (NaCMC) and carboxymethylcellulose-cysteine (CMC-Cys) conjugates on the intestinal permeation of sodium fluorescein (NaFlu) and model peptide drugs, bacitracin and insulin. ",bacitracin,insulin,No interaction,"The_bf purpose_bf study_bf evaluate_bf effect_bf sodium_bf carboxymethylcellulose_bf (NaCMC)_bf carboxymethylcellulose-cysteine_bf (CMC-Cys)_bf conjugates_bf intestinal_bf permeation_bf sodium_bf fluorescein_bf (NaFlu)_bf model_bf peptide_bf drugs_bf ,_bf DRUG OTHER_DRUG ._af"
477,Cysteine was covalently linked to carbodiimide activated NaCMC. ,Cysteine,NaCMC,No interaction,DRUG covalently_be linked_be carbodiimide_be activated_be OTHER_DRUG ._af
478,Unmodified NaCMC (1% m/v) significantly improved the transport ratio (R= P(app) polymer/ P(app) control) of NaFlu to 1.3 and 1% (m/v) NaCMC conjugated with cysteine further enhanced the permeation. ,NaCMC,NaFlu,No interaction,Unmodified_bf DRUG (1%_be m/v)_be significantly_be improved_be transport_be ratio_be (R=_be P(app)_be polymer/_be P(app)_be control)_be OTHER_DRUG 1_af ._af 3_af 1%_af (m/v)_af DRUG conjugated_af cysteine_af enhanced_af permeation_af ._af
479,Unmodified NaCMC (1% m/v) significantly improved the transport ratio (R= P(app) polymer/ P(app) control) of NaFlu to 1.3 and 1% (m/v) NaCMC conjugated with cysteine further enhanced the permeation. ,NaCMC,NaCMC,No interaction,Unmodified_bf DRUG (1%_be m/v)_be significantly_be improved_be transport_be ratio_be (R=_be P(app)_be polymer/_be P(app)_be control)_be NaFlu_be 1_be ._be 3_be 1%_be (m/v)_be DRUG conjugated_af cysteine_af enhanced_af permeation_af ._af
480,Unmodified NaCMC (1% m/v) significantly improved the transport ratio (R= P(app) polymer/ P(app) control) of NaFlu to 1.3 and 1% (m/v) NaCMC conjugated with cysteine further enhanced the permeation. ,NaCMC,cysteine,No interaction,Unmodified_bf DRUG (1%_be m/v)_be significantly_be improved_be transport_be ratio_be (R=_be P(app)_be polymer/_be P(app)_be control)_be NaFlu_be 1_be ._be 3_be 1%_be (m/v)_be DRUG conjugated_af OTHER_DRUG enhanced_af permeation_af ._af
481,Unmodified NaCMC (1% m/v) significantly improved the transport ratio (R= P(app) polymer/ P(app) control) of NaFlu to 1.3 and 1% (m/v) NaCMC conjugated with cysteine further enhanced the permeation. ,NaFlu,NaCMC,No interaction,Unmodified_bf OTHER_DRUG (1%_be m/v)_be significantly_be improved_be transport_be ratio_be (R=_be P(app)_be polymer/_be P(app)_be control)_be DRUG 1_af ._af 3_af 1%_af (m/v)_af OTHER_DRUG conjugated_af cysteine_af enhanced_af permeation_af ._af
482,Unmodified NaCMC (1% m/v) significantly improved the transport ratio (R= P(app) polymer/ P(app) control) of NaFlu to 1.3 and 1% (m/v) NaCMC conjugated with cysteine further enhanced the permeation. ,NaFlu,cysteine,No interaction,Unmodified_bf NaCMC_bf (1%_bf m/v)_bf significantly_bf improved_bf transport_bf ratio_bf (R=_bf P(app)_bf polymer/_bf P(app)_bf control)_bf DRUG 1_be ._be 3_be 1%_be (m/v)_be NaCMC_be conjugated_be OTHER_DRUG enhanced_af permeation_af ._af
483,Unmodified NaCMC (1% m/v) significantly improved the transport ratio (R= P(app) polymer/ P(app) control) of NaFlu to 1.3 and 1% (m/v) NaCMC conjugated with cysteine further enhanced the permeation. ,NaCMC,cysteine,No interaction,Unmodified_bf DRUG (1%_be m/v)_be significantly_be improved_be transport_be ratio_be (R=_be P(app)_be polymer/_be P(app)_be control)_be NaFlu_be 1_be ._be 3_be 1%_be (m/v)_be DRUG conjugated_af OTHER_DRUG enhanced_af permeation_af ._af
484,"Decreasing the concentration of CMC-Cys, exhibiting 7.3% (m/m) of immobilised cysteine (CMC-Cys7.3) from 1% (m/v) to 0.5% (m/v) decreased the R-value of NaFlu from 1.8 to 1.2. ",CMC-Cys,cysteine,No interaction,"Decreasing_bf concentration_bf DRUG ,_be exhibiting_be 7_be ._be 3%_be (m/m)_be immobilised_be OTHER_DRUG (CMC-Cys7_af ._af 3)_af 1%_af (m/v)_af 0_af ._af 5%_af (m/v)_af decreased_af R-value_af NaFlu_af 1_af ._af 8_af 1_af ._af 2_af ._af"
485,"Decreasing the concentration of CMC-Cys, exhibiting 7.3% (m/m) of immobilised cysteine (CMC-Cys7.3) from 1% (m/v) to 0.5% (m/v) decreased the R-value of NaFlu from 1.8 to 1.2. ",CMC-Cys,NaFlu,No interaction,"Decreasing_bf concentration_bf DRUG ,_be exhibiting_be 7_be ._be 3%_be (m/m)_be immobilised_be cysteine_be (CMC-Cys7_be ._be 3)_be 1%_be (m/v)_be 0_be ._be 5%_be (m/v)_be decreased_be R-value_be OTHER_DRUG 1_af ._af 8_af 1_af ._af 2_af ._af"
486,"Decreasing the concentration of CMC-Cys, exhibiting 7.3% (m/m) of immobilised cysteine (CMC-Cys7.3) from 1% (m/v) to 0.5% (m/v) decreased the R-value of NaFlu from 1.8 to 1.2. ",cysteine,NaFlu,No interaction,"Decreasing_bf concentration_bf CMC-Cys_bf ,_bf exhibiting_bf 7_bf ._bf 3%_bf (m/m)_bf immobilised_bf DRUG (CMC-Cys7_be ._be 3)_be 1%_be (m/v)_be 0_be ._be 5%_be (m/v)_be decreased_be R-value_be OTHER_DRUG 1_af ._af 8_af 1_af ._af 2_af ._af"
487,NaCMC at 1% (m/v) in the presence of free cysteine had no significant effect on the R-value of NaFlu compared to NaCMC alone. ,NaCMC,cysteine,No interaction,DRUG 1%_be (m/v)_be presence_be free_be OTHER_DRUG significant_af effect_af R-value_af NaFlu_af compared_af DRUG alone_af ._af
488,NaCMC at 1% (m/v) in the presence of free cysteine had no significant effect on the R-value of NaFlu compared to NaCMC alone. ,NaCMC,NaFlu,No interaction,DRUG 1%_be (m/v)_be presence_be free_be cysteine_be significant_be effect_be R-value_be OTHER_DRUG compared_af DRUG alone_af ._af
489,NaCMC at 1% (m/v) in the presence of free cysteine had no significant effect on the R-value of NaFlu compared to NaCMC alone. ,NaCMC,NaCMC,No interaction,DRUG 1%_be (m/v)_be presence_be free_be cysteine_be significant_be effect_be R-value_be NaFlu_be compared_be DRUG alone_af ._af
490,NaCMC at 1% (m/v) in the presence of free cysteine had no significant effect on the R-value of NaFlu compared to NaCMC alone. ,cysteine,NaFlu,No interaction,NaCMC_bf 1%_bf (m/v)_bf presence_bf free_bf DRUG significant_be effect_be R-value_be OTHER_DRUG compared_af NaCMC_af alone_af ._af
491,NaCMC at 1% (m/v) in the presence of free cysteine had no significant effect on the R-value of NaFlu compared to NaCMC alone. ,cysteine,NaCMC,No interaction,OTHER_DRUG 1%_be (m/v)_be presence_be free_be DRUG significant_af effect_af R-value_af NaFlu_af compared_af OTHER_DRUG alone_af ._af
492,NaCMC at 1% (m/v) in the presence of free cysteine had no significant effect on the R-value of NaFlu compared to NaCMC alone. ,NaFlu,NaCMC,No interaction,OTHER_DRUG 1%_be (m/v)_be presence_be free_be cysteine_be significant_be effect_be R-value_be DRUG compared_af OTHER_DRUG alone_af ._af
493,"Formulation of fluorescence labelled bacitracin and insulin in unconjugated NaCMC (1% m/v) did not significantly improve the permeation, however in the presence of 1% (m/v) CMC-Cys7.3 a significantly improved permeation was observed (R= 1.3). ",bacitracin,insulin,No interaction,"Formulation_bf fluorescence_bf labelled_bf DRUG OTHER_DRUG unconjugated_af NaCMC_af (1%_af m/v)_af significantly_af improve_af permeation_af ,_af however_af presence_af 1%_af (m/v)_af CMC-Cys7_af ._af 3_af significantly_af improved_af permeation_af observed_af (R=_af 1_af ._af 3)_af ._af"
494,"Formulation of fluorescence labelled bacitracin and insulin in unconjugated NaCMC (1% m/v) did not significantly improve the permeation, however in the presence of 1% (m/v) CMC-Cys7.3 a significantly improved permeation was observed (R= 1.3). ",bacitracin,NaCMC,No interaction,"Formulation_bf fluorescence_bf labelled_bf DRUG insulin_be unconjugated_be OTHER_DRUG (1%_af m/v)_af significantly_af improve_af permeation_af ,_af however_af presence_af 1%_af (m/v)_af CMC-Cys7_af ._af 3_af significantly_af improved_af permeation_af observed_af (R=_af 1_af ._af 3)_af ._af"
495,"Formulation of fluorescence labelled bacitracin and insulin in unconjugated NaCMC (1% m/v) did not significantly improve the permeation, however in the presence of 1% (m/v) CMC-Cys7.3 a significantly improved permeation was observed (R= 1.3). ",bacitracin,CMC-Cys,No interaction,"Formulation_bf fluorescence_bf labelled_bf DRUG insulin_be unconjugated_be NaCMC_be (1%_be m/v)_be significantly_be improve_be permeation_be ,_be however_be presence_be 1%_be (m/v)_be CMC-Cys7_be ._be 3_be significantly_be improved_be permeation_be observed_be (R=_be 1_be ._be 3)_be ._be"
496,"Formulation of fluorescence labelled bacitracin and insulin in unconjugated NaCMC (1% m/v) did not significantly improve the permeation, however in the presence of 1% (m/v) CMC-Cys7.3 a significantly improved permeation was observed (R= 1.3). ",insulin,NaCMC,No interaction,"Formulation_bf fluorescence_bf labelled_bf bacitracin_bf DRUG unconjugated_be OTHER_DRUG (1%_af m/v)_af significantly_af improve_af permeation_af ,_af however_af presence_af 1%_af (m/v)_af CMC-Cys7_af ._af 3_af significantly_af improved_af permeation_af observed_af (R=_af 1_af ._af 3)_af ._af"
497,"Formulation of fluorescence labelled bacitracin and insulin in unconjugated NaCMC (1% m/v) did not significantly improve the permeation, however in the presence of 1% (m/v) CMC-Cys7.3 a significantly improved permeation was observed (R= 1.3). ",insulin,CMC-Cys,No interaction,"Formulation_bf fluorescence_bf labelled_bf bacitracin_bf DRUG unconjugated_be NaCMC_be (1%_be m/v)_be significantly_be improve_be permeation_be ,_be however_be presence_be 1%_be (m/v)_be CMC-Cys7_be ._be 3_be significantly_be improved_be permeation_be observed_be (R=_be 1_be ._be 3)_be ._be"
498,"Formulation of fluorescence labelled bacitracin and insulin in unconjugated NaCMC (1% m/v) did not significantly improve the permeation, however in the presence of 1% (m/v) CMC-Cys7.3 a significantly improved permeation was observed (R= 1.3). ",NaCMC,CMC-Cys,No interaction,"Formulation_bf fluorescence_bf labelled_bf bacitracin_bf insulin_bf unconjugated_bf DRUG (1%_be m/v)_be significantly_be improve_be permeation_be ,_be however_be presence_be 1%_be (m/v)_be CMC-Cys7_be ._be 3_be significantly_be improved_be permeation_be observed_be (R=_be 1_be ._be 3)_be ._be"
499,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",NaCMC,cysteine,No interaction,"Conjugation_bf DRUG OTHER_DRUG moieties_af significantly_af improves_af intestinal_af permeation_af hydrophilic_af molecule_af NaFlu_af model_af peptide_af drugs_af bacitracin_af insulin_af vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
500,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",NaCMC,NaFlu,No interaction,"Conjugation_bf DRUG cysteine_be moieties_be significantly_be improves_be intestinal_be permeation_be hydrophilic_be molecule_be OTHER_DRUG model_af peptide_af drugs_af bacitracin_af insulin_af vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
501,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",NaCMC,bacitracin,No interaction,"Conjugation_bf DRUG cysteine_be moieties_be significantly_be improves_be intestinal_be permeation_be hydrophilic_be molecule_be NaFlu_be model_be peptide_be drugs_be OTHER_DRUG insulin_af vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
502,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",NaCMC,insulin,No interaction,"Conjugation_bf DRUG cysteine_be moieties_be significantly_be improves_be intestinal_be permeation_be hydrophilic_be molecule_be NaFlu_be model_be peptide_be drugs_be bacitracin_be OTHER_DRUG vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
503,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",cysteine,NaFlu,No interaction,"Conjugation_bf NaCMC_bf DRUG moieties_be significantly_be improves_be intestinal_be permeation_be hydrophilic_be molecule_be OTHER_DRUG model_af peptide_af drugs_af bacitracin_af insulin_af vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
504,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",cysteine,bacitracin,No interaction,"Conjugation_bf NaCMC_bf DRUG moieties_be significantly_be improves_be intestinal_be permeation_be hydrophilic_be molecule_be NaFlu_be model_be peptide_be drugs_be OTHER_DRUG insulin_af vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
505,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",cysteine,insulin,No interaction,"Conjugation_bf NaCMC_bf DRUG moieties_be significantly_be improves_be intestinal_be permeation_be hydrophilic_be molecule_be NaFlu_be model_be peptide_be drugs_be bacitracin_be OTHER_DRUG vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
506,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",NaFlu,bacitracin,No interaction,"Conjugation_bf NaCMC_bf cysteine_bf moieties_bf significantly_bf improves_bf intestinal_bf permeation_bf hydrophilic_bf molecule_bf DRUG model_be peptide_be drugs_be OTHER_DRUG insulin_af vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
507,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",NaFlu,insulin,No interaction,"Conjugation_bf NaCMC_bf cysteine_bf moieties_bf significantly_bf improves_bf intestinal_bf permeation_bf hydrophilic_bf molecule_bf DRUG model_be peptide_be drugs_be bacitracin_be OTHER_DRUG vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
508,"Conjugation at NaCMC with cysteine moieties significantly improves the intestinal permeation of the hydrophilic molecule NaFlu and the model peptide drugs bacitracin and insulin in vitro, therefore this conjugated system maybe useful for peroral administration of peptide drugs in the future.",bacitracin,insulin,No interaction,"Conjugation_bf NaCMC_bf cysteine_bf moieties_bf significantly_bf improves_bf intestinal_bf permeation_bf hydrophilic_bf molecule_bf NaFlu_bf model_bf peptide_bf drugs_bf DRUG OTHER_DRUG vitro_af ,_af therefore_af conjugated_af system_af maybe_af useful_af peroral_af administration_af peptide_af drugs_af future_af ._af"
509,"Pharmacokinetic Interaction between amprenavir and rifabutin or rifampin in healthy males.
",amprenavir,rifabutin,No interaction,Pharmacokinetic_bf Interaction_bf DRUG OTHER_DRUG rifampin_af healthy_af males_af ._af
510,"Pharmacokinetic Interaction between amprenavir and rifabutin or rifampin in healthy males.
",amprenavir,rifampin,No interaction,Pharmacokinetic_bf Interaction_bf DRUG rifabutin_be OTHER_DRUG healthy_af males_af ._af
511,"Pharmacokinetic Interaction between amprenavir and rifabutin or rifampin in healthy males.
",rifabutin,rifampin,No interaction,Pharmacokinetic_bf Interaction_bf amprenavir_bf DRUG OTHER_DRUG healthy_af males_af ._af
512,The objective of this study was to determine if there is a pharmacokinetic interaction when amprenavir is given with rifabutin or rifampin and to determine the effects of these drugs on the erythromycin breath test (ERMBT). ,amprenavir,rifabutin,No interaction,The_bf objective_bf study_bf determine_bf pharmacokinetic_bf interaction_bf DRUG given_be OTHER_DRUG rifampin_af determine_af effects_af drugs_af erythromycin_af breath_af test_af (ERMBT)_af ._af
513,The objective of this study was to determine if there is a pharmacokinetic interaction when amprenavir is given with rifabutin or rifampin and to determine the effects of these drugs on the erythromycin breath test (ERMBT). ,amprenavir,rifampin,No interaction,The_bf objective_bf study_bf determine_bf pharmacokinetic_bf interaction_bf DRUG given_be rifabutin_be OTHER_DRUG determine_af effects_af drugs_af erythromycin_af breath_af test_af (ERMBT)_af ._af
514,The objective of this study was to determine if there is a pharmacokinetic interaction when amprenavir is given with rifabutin or rifampin and to determine the effects of these drugs on the erythromycin breath test (ERMBT). ,rifabutin,rifampin,No interaction,The_bf objective_bf study_bf determine_bf pharmacokinetic_bf interaction_bf amprenavir_bf given_bf DRUG OTHER_DRUG determine_af effects_af drugs_af erythromycin_af breath_af test_af (ERMBT)_af ._af
515,"All subjects received amprenavir (1,200 mg twice a day) for 4 days, followed by a 7-day washout period, followed by either rifabutin (300 mg once a day [QD]) (cohort 1) or rifampin (600 mg QD) (cohort 2) for 14 days. ",amprenavir,rifabutin,No interaction,"All_bf subjects_bf received_bf DRUG (1_be ,_be 200_be mg_be twice_be day)_be 4_be days_be ,_be followed_be 7-day_be washout_be period_be ,_be followed_be either_be OTHER_DRUG (300_af mg_af day_af [QD])_af (cohort_af 1)_af rifampin_af (600_af mg_af QD)_af (cohort_af 2)_af 14_af days_af ._af"
516,"All subjects received amprenavir (1,200 mg twice a day) for 4 days, followed by a 7-day washout period, followed by either rifabutin (300 mg once a day [QD]) (cohort 1) or rifampin (600 mg QD) (cohort 2) for 14 days. ",amprenavir,rifampin,No interaction,"All_bf subjects_bf received_bf DRUG (1_be ,_be 200_be mg_be twice_be day)_be 4_be days_be ,_be followed_be 7-day_be washout_be period_be ,_be followed_be either_be rifabutin_be (300_be mg_be day_be [QD])_be (cohort_be 1)_be OTHER_DRUG (600_af mg_af QD)_af (cohort_af 2)_af 14_af days_af ._af"
517,"All subjects received amprenavir (1,200 mg twice a day) for 4 days, followed by a 7-day washout period, followed by either rifabutin (300 mg once a day [QD]) (cohort 1) or rifampin (600 mg QD) (cohort 2) for 14 days. ",rifabutin,rifampin,No interaction,"All_bf subjects_bf received_bf amprenavir_bf (1_bf ,_bf 200_bf mg_bf twice_bf day)_bf 4_bf days_bf ,_bf followed_bf 7-day_bf washout_bf period_bf ,_bf followed_bf either_bf DRUG (300_be mg_be day_be [QD])_be (cohort_be 1)_be OTHER_DRUG (600_af mg_af QD)_af (cohort_af 2)_af 14_af days_af ._af"
518,"Cohort 1 then received amprenavir plus rifabutin for 10 days, and cohort 2 received amprenavir plus rifampin for 4 days. ",amprenavir,rifabutin,No interaction,"Cohort_bf 1_bf received_bf DRUG plus_be OTHER_DRUG 10_af days_af ,_af cohort_af 2_af received_af DRUG plus_af rifampin_af 4_af days_af ._af"
519,"Cohort 1 then received amprenavir plus rifabutin for 10 days, and cohort 2 received amprenavir plus rifampin for 4 days. ",amprenavir,amprenavir,No interaction,"Cohort_bf 1_bf received_bf DRUG plus_be rifabutin_be 10_be days_be ,_be cohort_be 2_be received_be DRUG plus_af rifampin_af 4_af days_af ._af"
520,"Cohort 1 then received amprenavir plus rifabutin for 10 days, and cohort 2 received amprenavir plus rifampin for 4 days. ",amprenavir,rifampin,No interaction,"Cohort_bf 1_bf received_bf DRUG plus_be rifabutin_be 10_be days_be ,_be cohort_be 2_be received_be DRUG plus_af OTHER_DRUG 4_af days_af ._af"
521,"Cohort 1 then received amprenavir plus rifabutin for 10 days, and cohort 2 received amprenavir plus rifampin for 4 days. ",rifabutin,amprenavir,No interaction,"Cohort_bf 1_bf received_bf OTHER_DRUG plus_be DRUG 10_af days_af ,_af cohort_af 2_af received_af OTHER_DRUG plus_af rifampin_af 4_af days_af ._af"
